Polarity,Subjectivity,Tweet
0.78125,0.5,"Do you remember this? Most Democrats would rather not!
RT and put it in their face!
#MAGA https://t.co/NuYPkJGAbj 1505858798"
0.029365079365079344,0.4301587301587302,"RT @Quizzamazzoo: Sometimes at certain points throughout time, God looks down and says, ""Not today, Satan.""

#WhatHappened 
#WeHappened
#Th…"
0.6,0.9,RT @MagaThom: What's with Democrats and their lack of integrity? They can't even be honest under oath. The wiretapping was never in doubt.…
0.8,0.75,RT @RedNationRising: Whoever made this Comey/Clinton video did a great job. #FireComey #LockHerUp #MAGA  https://t.co/aFmXGLWxII
0.0,0.0,RT @LouDobbs: Dimms’ NoKo Disaster - @POTUS cleaning up mistakes of the Clinton &amp; Obama admins. Join #Dobbs NOW #MAGA #TrumpTrain
-0.07142857142857142,0.7857142857142857,RT @LouDobbs: Mueller Madness- Corrupt Special Counsel interviews his boss Rosenstein. Judicial Watch’s @tomfitton on #Dobbs FBN7p #MAGA #T…
0.25,0.25,You know I'm torn on @realDonaldTrump but his #UNspeech was exactly what I want POTUS to say. #MAGA
0.7,0.6000000000000001,RT @SheriffClarke: ALL lib media not finding ONE good thing to say about @realDonaldTrump UNGA speech is prima facia evidence that it was a…
-0.16666666666666666,0.3333333333333333,Seriously @realDonaldTrump just fire #johnkelly already. Get back to #MAGA! https://t.co/YaiVUPuUZk
-0.07142857142857142,0.7857142857142857,RT @LouDobbs: Mueller Madness- Corrupt Special Counsel interviews his boss Rosenstein. Judicial Watch’s @tomfitton on #Dobbs FBN7p #MAGA #T…
0.5,1.0,"RT @Pink_About_it: Trump didn't start out to be everyone's favorite President. 

But he became one to 62 million and GROWING, anyway 

#MAG…"
0.0,0.1,Mueller vs. Trump is about to blow up; Bigly #maga #tcot #CNN #tucker #hardball #hannity https://t.co/8S5dmFobcZ
-0.4,0.6,"RT @Babbsgirl2: .@RandPaul: ""As a physician I've seen ObamaCare up close &amp; personal, and I hate every bit of it."" #Obamacare #MAGA 
https:/…"
0.0,0.0,RT @TerreBehlog: Alabama Tell The Swamp You Are Not For Sale! Next Tuesday VOTE Judge Roy Moore @MooreSenate For US Senate #MAGA #ALSEN #MO…
0.0,0.0,"Racist ~&gt; RT @jemelehill: Saw IT. If you put a ""S"" and ""H"" in front of it, there's my review of it.

#MAGA #BoycottESPN"
